frame_id,label,confidence,x,y,w,h
212,an ocelot,0.217,0,0,1280,667
212,an ocelot,0.232,10,142,1224,576
213,an ocelot,0.216,0,0,1280,717
213,an ocelot,0.241,0,0,1280,664
213,a tamandua,0.237,0,142,1234,576
214,an ocelot,0.23,0,0,1280,717
214,an ocelot,0.236,0,0,1280,659
215,an ocelot,0.231,0,0,1280,717
215,an ocelot,0.245,0,0,1280,659
216,an ocelot,0.23,0,0,1280,718
216,an ocelot,0.231,0,0,1280,667
216,an ocelot,0.229,34,0,1246,688
217,a tamandua,0.234,0,0,1280,717
217,a tamandua,0.246,0,0,1280,668
218,an ocelot,0.234,0,0,1280,717
218,a tamandua,0.248,0,0,1280,668
219,a tamandua,0.232,0,0,1280,717
219,a tamandua,0.248,0,0,1280,665
220,an ocelot,0.225,0,0,1280,718
220,an ocelot,0.232,0,0,1280,673
221,an ocelot,0.232,0,0,1280,717
221,a tamandua,0.235,0,0,1280,660
221,a tamandua,0.243,14,195,1220,520
222,an ocelot,0.234,0,0,1280,715
222,an ocelot,0.242,0,0,1280,665
222,a tamandua,0.248,7,321,1227,394
223,an ocelot,0.235,0,0,1280,717
223,an ocelot,0.241,0,0,1280,684
223,a tamandua,0.24,8,163,1226,554
224,an ocelot,0.237,0,0,1280,718
224,an ocelot,0.231,0,0,1280,705
224,a tamandua,0.226,4,323,1230,394
225,an ocelot,0.233,0,0,1280,718
225,an ocelot,0.231,0,0,1280,684
225,a tamandua,0.235,32,161,1221,556
226,an ocelot,0.24,0,0,1280,718
226,an ocelot,0.234,0,0,1280,688
226,a snake,0.236,12,323,1241,394
227,an ocelot,0.24,0,0,1280,718
227,an ocelot,0.233,0,0,1280,688
227,a snake,0.232,11,324,1242,393
228,an ocelot,0.239,0,0,1280,717
228,an ocelot,0.228,0,0,1280,688
229,an ocelot,0.233,0,0,1280,718
229,an ocelot,0.237,0,0,1280,690
229,an otter,0.239,22,325,1182,392
230,an ocelot,0.231,0,0,1280,718
230,an ocelot,0.232,0,0,1280,689
231,an ocelot,0.231,0,0,1280,718
231,an ocelot,0.236,0,0,1280,688
231,an otter,0.239,0,513,1178,204
232,an ocelot,0.23,0,0,1280,716
232,an ocelot,0.229,0,0,1280,665
233,an ocelot,0.234,0,0,1280,716
233,an ocelot,0.236,0,0,1280,665
234,an ocelot,0.239,0,0,1280,716
234,a tamandua,0.243,0,0,1280,665
235,an ocelot,0.233,0,0,1280,716
235,an ocelot,0.233,0,0,1280,665
236,an ocelot,0.243,0,0,1280,715
236,an ocelot,0.23,0,0,1280,665
237,an ocelot,0.242,0,0,1280,716
237,an ocelot,0.23,0,0,1280,669
237,a tamandua,0.241,0,321,1234,396
238,an ocelot,0.239,0,0,1280,716
238,a tamandua,0.231,0,0,1280,694
239,an ocelot,0.229,0,0,1280,717
239,a tamandua,0.229,0,0,1280,668
239,a tamandua,0.239,11,162,1223,552
240,an ocelot,0.238,0,0,1280,716
240,a tamandua,0.239,0,0,1280,667
240,an otter,0.233,12,321,1256,396
241,an ocelot,0.231,0,0,1280,716
241,an ocelot,0.231,0,0,1280,664
242,an ocelot,0.235,0,0,1280,717
242,an ocelot,0.225,0,0,1280,663
243,a tamandua,0.226,0,0,1280,718
243,a tamandua,0.228,0,0,1280,700
